outcome,recency<0.33q,recency>0.66q,0.33q<=recency<=0.66q,lifetime<0.33q,lifetime>0.66q,0.33q<=lifetime<=0.66q,bigstoreshare<0.33q,bigstoreshare>0.66q,0.33q<=bigstoreshare<=0.66q,sum0<0.33q,sum0>0.66q,0.33q<=sum0<=0.66q,treatment,treat1,treat2,numbasket0,sum0,avgcart<0.33q,avgcart>0.66q,0.33q<=avgcart<=0.66q
False,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,3,2032.7,0,1,0
True,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,20,4482.03,1,0,0
False,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,5,576.03999,1,0,0
False,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,340.39999,0,0,1
True,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,25,7317.6701,1,0,0
True,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,42,14172.77,1,0,0
True,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,202,194751.09,0,1,0
True,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,53,114356.51,0,1,0
True,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,96,37004.06,0,0,1
False,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,10,2499.09,1,0,0
False,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,189.7,1,0,0
True,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,11,5989.58,0,0,1
False,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,31,25175.97,0,1,0
True,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,36,7666.97,1,0,0
True,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,152,136741.57,0,1,0
False,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,223.8,1,0,0
True,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,152,138016.39,0,1,0
False,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,7,1998.36,1,0,0
True,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,292,166806.45,0,0,1
True,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,6,2064.4,0,0,1
False,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,46.900002,1,0,0
True,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,72,48358.77,0,1,0
